lastName,name,patronymic,birthday,gender,phone,function,department,supervisor,employmentday,salary
Соколова,Мария,Павловна,01.08.1979,FEMALE,+7(8662)740036,Инженер,ФинансовыйОтдел,Евдокимов,21.02.2019,50191,00
Захарова,Варвара,Федоровна,19.10.2000,FEMALE,+7(343)1612645,Инженер,ФинансовыйОтдел,Евдокимов,21.02.2019,127977,00
Федотов,Даниил,Романович,01.09.1977,MALE,+7(8112)969401,Инспектор,Кадры,Чернова,25.06.2019,66263,00
Прокофьева,Светлана,Дмитриевна,23.01.1975,FEMALE,+7(3435)569134,Бухгалтер,Бухгалтерия,Абрамова,21.02.2019,87475,00
Федотов,Давид,Назарович,01.08.1979,MALE,+7(8662)740036,Старший  инженер,ПроизводственныйОтдел,Чернов,09.09.2004,53463,00
Прокофьев,Дмитрий,Егорович,18.07.1984,MALE,+7(3462)391514,Старший  бухгалтер,Бухгалтерия,Абрамова,25.06.2019,56096,00
Прокофьев,Демид,Романович,18.07.1984,MALE,+7(8662)272526,Инспектор,Кадры,Чернова,25.06.2019,148038,00
Абрамов,Илья,Егорович,15.02.1996,MALE,+7(8652)248775,Старший инспектор,Кадры,Чернова,25.06.2019,96221,00
Абрамова,Мария,Кирилловна,01.09.1977,FEMALE,+7(495)2371101,Инспектор,Кадры,Чернова,27.02.1996,129998,00
Абрамов,Вячеслав,Феликсович,19.10.2000,MALE,+7(8112)969401,Старший  инженер,ПлановыйОтдел,null,21.02.2019,55165,00
Соколова,Василиса,Федоровна,15.02.1996,FEMALE,+7(8652)248775,Старший  инженер,ПроизводственныйОтдел,Чернов,21.02.2019,39607,00
Евдокимова,Ева,Дмитриевна,18.07.1984,FEMALE,+7(8662)740036,Начальник отдела,ПлановыйОтдел,Евдокимова,21.02.2019,131880,00
Евдокимова,Ариана,Александровна,19.10.2000,FEMALE,+7(8652)248775,Бухгалтер,Бухгалтерия,Абрамова,25.06.2019,62749,00
Малышев,Демид,Львович,01.08.1979,MALE,+7(383)9918391,Старший  инженер,ПроизводственныйОтдел,Чернов,17.07.2015,131249,00
Захаров,Никита,Игоревич,13.11.1989,MALE,+7(495)2371101,Старший инспектор,Кадры,Чернова,25.06.2019,174877,00
Прокофьева,Ариана,Константиновна,15.02.1996,FEMALE,+7(383)9918391,Бухгалтер,Бухгалтерия,Абрамова,21.02.2019,63562,00
Чернов,Александр,Романович,02.11.1971,MALE,+7(8662)740036,Инженер,ПроизводственныйОтдел,Чернов,21.02.2019,109873,00
Федотова,Василиса,Дмитриевна,15.02.1996,FEMALE,+7(3519)343081,Старший инспектор,Кадры,Чернова,21.02.2019,93998,00
Малышева,Ксения,Дмитриевна,23.01.1975,FEMALE,+7(3435)569134,Бухгалтер,Бухгалтерия,Абрамова,25.06.2019,118868,00
Чернов,Даниил,Романович,13.11.1989,MALE,+7(8652)248775,Старший  инженер,ПроизводственныйОтдел,Чернов,17.07.2015,14534,00
Чернова,Мария,Алексеевна,07.09.1970,FEMALE,+7(3435)569134,Старший  инженер,ПлановыйОтдел,Евдокимова,17.09.1992,109963,00
Абрамов,Александр,Феликсович,13.11.1989,MALE,+7(383)9918391,Инженер,ФинансовыйОтдел,Евдокимов,17.07.2015,174495,00
Захаров,Давид,Геннадьевич,15.02.1996,MALE,+7(3435)569134,Старший  инженер,ПлановыйОтдел,Евдокимова,17.07.2015,155264,00
Федотов,Александр,Игоревич,15.02.1996,MALE,+7(3519)343081,Инспектор,Кадры,Чернова,21.02.2019,120030,00
Соколова,Ариана,Алексеевна,23.01.1975,FEMALE,+7(8652)248775,Бухгалтер,Бухгалтерия,Абрамова,19.03.1999,47868,00
Соколова,Ариана,Константиновна,01.08.1979,FEMALE,+7(495)2371101,Инженер,ПлановыйОтдел,Евдокимова,25.06.2019,102417,00
Соколова,Варвара,Павловна,01.08.1979,FEMALE,+7(383)9918391,Бухгалтер,Бухгалтерия,Абрамова,17.07.2015,340,00
Соколова,София,Марковна,13.11.1989,FEMALE,+7(3462)391514,Инженер,ПлановыйОтдел,Евдокимова,17.07.2015,73704,00
Шульгина,Ариана,Евгеньевна,15.02.1996,FEMALE,+7(383)9918391,Старший  инженер,ПлановыйОтдел,Евдокимова,21.02.2019,124453,00
Евдокимов,Никита,Романович,01.08.1979,MALE,+7(3462)391514,Старший  бухгалтер,Бухгалтерия,Абрамова,09.09.2004,96782,00
Евдокимов,Владислав,Максимович,02.11.1971,MALE,+7(3462)391514,Старший  бухгалтер,Бухгалтерия,Абрамова,17.09.1992,17869,00
Малышева,Юлия,Владиславовна,01.09.1977,FEMALE,+7(8112)969401,Старший  инженер,ФинансовыйОтдел,Евдокимов,09.10.1995,159451,00
Захарова,Юлия,Дмитриевна,18.07.1984,FEMALE,+7(3462)391514,Старший  бухгалтер,Бухгалтерия,Абрамова,21.02.2019,50659,00
Соколов,Илья,Ярославович,13.11.1989,MALE,+7(8662)272526,Инспектор,Кадры,Чернова,21.02.2019,70895,00
Шульгин,Давид,Игоревич,01.08.1979,MALE,+7(8662)272526,Инженер,ФинансовыйОтдел,Евдокимов,09.09.2004,87498,00
Малышев,Даниил,Львович,15.02.1996,MALE,+7(8652)248775,Старший инспектор,Кадры,Чернова,21.02.2019,114574,00
Абрамов,Илья,Львович,07.09.1970,MALE,+7(383)9918391,Бухгалтер,Бухгалтерия,Абрамова,09.10.1995,42565,00
Чернова,Ариана,Евгеньевна,02.11.1971,FEMALE,+7(3435)569134,Инженер,ПлановыйОтдел,Евдокимова,17.07.2015,2098,00
Малышев,Вячеслав,Феликсович,18.07.1984,MALE,+7(8112)969401,Бухгалтер,Бухгалтерия,Абрамова,21.02.2019,125883,00
Абрамов,Дмитрий,Ярославович,13.11.1989,MALE,+7(3435)569134,Инженер,ФинансовыйОтдел,Евдокимов,25.06.2019,51941,00
Шульгина,Мария,Кирилловна,01.08.1979,FEMALE,+7(8652)248775,Старший  инженер,ПроизводственныйОтдел,Чернов,09.09.2004,6857,00
Чернов,Дмитрий,Львович,18.07.1984,MALE,+7(3462)391514,Старший  инженер,ФинансовыйОтдел,Евдокимов,25.06.2019,15942,00
Шульгина,Василиса,Алексеевна,13.11.1989,FEMALE,+7(343)1612645,Старший  инженер,ФинансовыйОтдел,Евдокимов,25.06.2019,134206,00
Чернова,Варвара,Владиславовна,01.08.1979,FEMALE,+7(8662)740036,Бухгалтер,Бухгалтерия,Абрамова,19.03.1999,80216,00
Соколов,Илья,Игоревич,18.07.1984,MALE,+7(8112)969401,Инженер,ПроизводственныйОтдел,Чернов,21.02.2019,175360,00
Прокофьев,Дмитрий,Ярославович,01.08.1979,MALE,+7(8112)969401,Старший  инженер,ПлановыйОтдел,Евдокимова,25.06.2019,38378,00
Федотова,Ева,Федоровна,01.09.1977,FEMALE,+7(8662)272526,Старший  бухгалтер,Бухгалтерия,Абрамова,17.07.2015,47963,00
Федотова,Ариана,Константиновна,19.10.2000,FEMALE,+7(8662)740036,Старший  инженер,ФинансовыйОтдел,Евдокимов,25.06.2019,10424,00
Захарова,Ксения,Федоровна,18.07.1984,FEMALE,+7(8112)969401,Старший  инженер,ПлановыйОтдел,Евдокимова,25.06.2019,73016,00
Богданов,Илья,Геннадьевич,02.11.1971,MALE,+7(3462)391514,Старший инспектор,Кадры,Чернова,27.02.1996,126852,00
Соколова,Ксения,Владиславовна,18.07.1984,FEMALE,+7(8652)248775,Инженер,ФинансовыйОтдел,Евдокимов,17.07.2015,123609,00
Чернов,Алексей,Максимович,07.09.1970,MALE,+7(8662)272526,Старший  бухгалтер,Бухгалтерия,Абрамова,10.03.1992,116888,00
Абрамов,Илья,Макарович,15.02.1996,MALE,+7(343)1612645,Инженер,ФинансовыйОтдел,Евдокимов,17.07.2015,159009,00
Чернов,Вячеслав,Максимович,23.01.1975,MALE,+7(383)9918391,Инженер,ПроизводственныйОтдел,Чернов,25.06.2019,92646,00
Чернова,Варвара,Марковна,01.08.1979,FEMALE,+7(3519)343081,Бухгалтер,Бухгалтерия,Абрамова,09.09.2004,80988,00
Абрамова,Юлия,Евгеньевна,07.09.1970,FEMALE,+7(495)2371101,Старший  бухгалтер,Бухгалтерия,Абрамова,19.03.1999,60913,00
Прокофьева,Мария,Алексеевна,15.02.1996,FEMALE,+7(8662)272526,Инженер,ПлановыйОтдел,Евдокимова,25.06.2019,114264,00
Соколова,Полина,Кирилловна,15.02.1996,FEMALE,+7(3435)569134,Инспектор,Кадры,Чернова,25.06.2019,26346,00
Богданов,Демид,Львович,19.10.2000,MALE,+7(8112)969401,Инженер,ПлановыйОтдел,Евдокимова,21.02.2019,50108,00
Евдокимов,Демид,Львович,15.02.1996,MALE,+7(8662)740036,Инженер,ПроизводственныйОтдел,Чернов,21.02.2019,8366,00
Соколов,Владислав,Феликсович,01.08.1979,MALE,+7(8652)248775,Инженер,ПроизводственныйОтдел,Чернов,17.07.2015,3859,00
Федотов,Давид,Геннадьевич,01.09.1977,MALE,+7(495)2371101,Инженер,ФинансовыйОтдел,Евдокимов,09.09.2004,25296,00
Шульгина,Варвара,Дмитриевна,23.01.1975,FEMALE,+7(8652)248775,Старший  бухгалтер,Бухгалтерия,Абрамова,21.02.2019,70914,00
Прокофьева,Ариана,Дмитриевна,07.09.1970,FEMALE,+7(8662)272526,Старший  бухгалтер,Бухгалтерия,Абрамова,17.07.2015,85375,00
Федотова,София,Федоровна,13.11.1989,FEMALE,+7(8662)740036,Старший  инженер,ПроизводственныйОтдел,Чернов,25.06.2019,85549,00
Захарова,Юлия,Константиновна,23.01.1975,FEMALE,+7(8662)272526,Старший  инженер,ФинансовыйОтдел,Евдокимов,17.07.2015,142378,00
Евдокимов,Владислав,Макарович,07.09.1970,MALE,+7(8112)969401,Старший  инженер,ПлановыйОтдел,Евдокимова,09.10.1995,166996,00
Соколов,Давид,Львович,15.02.1996,MALE,+7(3462)391514,Старший  инженер,ФинансовыйОтдел,Евдокимов,25.06.2019,50624,00
Федотова,София,Александровна,18.07.1984,FEMALE,+7(8112)969401,Старший  инженер,ПроизводственныйОтдел,Чернов,09.09.2004,139092,00
Шульгин,Даниил,Ярославович,23.01.1975,MALE,+7(383)9918391,Инженер,ПроизводственныйОтдел,Чернов,09.10.1995,98421,00
Абрамов,Демид,Егорович,19.10.2000,MALE,+7(8112)969401,Инспектор,Кадры,Чернова,25.06.2019,82802,00
Богданова,София,Кирилловна,19.10.2000,FEMALE,+7(8662)272526,Инженер,ПлановыйОтдел,Евдокимова,21.02.2019,30345,00
Захарова,Светлана,Федоровна,15.02.1996,FEMALE,+7(8662)740036,Старший  бухгалтер,Бухгалтерия,Абрамова,17.07.2015,63769,00
Евдокимова,Ксения,Владиславовна,13.11.1989,FEMALE,+7(343)1612645,Старший  инженер,ФинансовыйОтдел,Евдокимов,17.07.2015,140079,00
Захаров,Владислав,Львович,23.01.1975,MALE,+7(3519)343081,Старший  инженер,ПроизводственныйОтдел,Чернов,25.06.2019,44119,00
Абрамов,Демид,Максимович,18.07.1984,MALE,+7(3462)391514,Инженер,ПроизводственныйОтдел,Чернов,09.09.2004,38219,00
Федотова,Юлия,Марковна,23.01.1975,FEMALE,+7(383)9918391,Бухгалтер,Бухгалтерия,Абрамова,27.02.1996,136558,00
Федотов,Алексей,Егорович,18.07.1984,MALE,+7(3519)343081,Инженер,ФинансовыйОтдел,Евдокимов,21.02.2019,118557,00
Соколов,Даниил,Ярославович,18.07.1984,MALE,+7(383)9918391,Бухгалтер,Бухгалтерия,Абрамова,17.07.2015,55333,00
Евдокимов,Александр,Максимович,18.07.1984,MALE,+7(495)2371101,Инженер,ПлановыйОтдел,Евдокимова,21.02.2019,75959,00
Богданова,Светлана,Павловна,07.09.1970,FEMALE,+7(3435)569134,Бухгалтер,Бухгалтерия,Абрамова,09.10.1995,153526,00
Богданов,Александр,Феликсович,18.07.1984,MALE,+7(3462)391514,Старший  инженер,ПроизводственныйОтдел,Чернов,21.02.2019,12365,00
Федотов,Даниил,Максимович,01.08.1979,MALE,+7(3435)569134,Инженер,ПлановыйОтдел,Евдокимова,09.09.2004,29203,00
Федотова,Светлана,Константиновна,07.09.1970,FEMALE,+7(8652)248775,Бухгалтер,Бухгалтерия,Абрамова,09.09.2004,2419,00
aaa,aaa,aaa,11.11.2002,MALE,+7(123)1234567,Бухгалтер,Бухгалтерия,Абрамова,22.02.2022,150000,00
bbb,bbb,bbb,12.12.1957,MALE,+7(123)1234555,Инспектор,Кадры,Чернова,15.05.2000,100000,00
